date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:23	119406/119406	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:14%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_8-1.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_8-1.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/amy_movie/dont-breathe/)
22:08:23	2623/2623	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Sep%202020%2015:08:22%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2F5-movies-to-watch-this-week-29-sep-2016%2F	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embedd87e.json	(from http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/)
22:08:24	20886/20886	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2006:54:20%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_57-360x240.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_57-360x240.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/another-jurassic-park-star-joins-thor-ragnarok/)
22:08:24	2743/2743	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Sep%202020%2015:08:23%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2F5-movies-to-watch-this-week-29-sep-2016%2F&format=xml	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed5bac	(from http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/)
22:08:24	893/893	---MC-	200	added ('OK')	application/rss+xml	etag:%225642343876a9c75f1e85f268a7fb857a%22	http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/)
22:08:25	109072/109072	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:20%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_11-1.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_11-1.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/amy_movie/star-trek-beyond/)
22:08:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:24%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=111	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/indexbbbb.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/)
22:08:26	20395/20395	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2006:54:18%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_56-360x240.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_56-360x240.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/5-movies-to-watch-this-week-29-sep-2016/)
22:08:26	2632/2632	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Sep%202020%2015:08:24%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fdoctor-strange-assembles-with-the-avengers%2F	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed3189.json	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:25%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=112	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/index8820.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:26	900/900	---MC-	200	added ('OK')	application/rss+xml	etag:%2210e2a32f711b78d26488baf24924dd82%22	http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:27	2752/2752	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Sep%202020%2015:08:25%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fdoctor-strange-assembles-with-the-avengers%2F&format=xml	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed6853	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:27	13858/13858	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:02:26%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/image_2-1-360x240.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/image_2-1-360x240.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:30	55026/55026	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2015:08:26%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/win-a-wizarding-world-holiday-with-fantastic/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/win-a-wizarding-world-holiday-with-fantastic/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/doctor-strange-assembles-with-the-avengers/)
22:08:31	9073/9073	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:00%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_3-1-196x336.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_3-1-196x336.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/now-playing/page/2/)
22:08:31	12580/12580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:04%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_5-1-196x336.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_5-1-196x336.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/now-playing/page/2/)
